School Name,Type,Budget,Size,Student Name,Grade,Math Score,Reading Score
Huang High School,District,1910635,2917,Paul Bradley,9th,79,66
Huang High School,District,1910635,2917,Victor Smith,12th,61,94
Huang High School,District,1910635,2917,Kevin Rodriguez,12th,60,90
Huang High School,District,1910635,2917,Dr. Richard Scott,12th,58,67
Huang High School,District,1910635,2917,Bonnie Ray,9th,84,97
Huang High School,District,1910635,2917,Bryan Miranda,9th,94,94
Huang High School,District,1910635,2917,Sheena Carter,11th,80,82
Huang High School,District,1910635,2917,Nicole Baker,12th,69,96
Huang High School,District,1910635,2917,Michael Roth,10th,87,95
Huang High School,District,1910635,2917,Matthew Greene,10th,84,96
Huang High School,District,1910635,2917,Andrew Alexander,10th,70,90
Huang High School,District,1910635,2917,Daniel Cooper,10th,77,78
Huang High School,District,1910635,2917,Brittney Walker,9th,79,64
Huang High School,District,1910635,2917,William Long,9th,79,71
Huang High School,District,1910635,2917,Tammy Hebert,10th,67,85
Huang High School,District,1910635,2917,Dr. Jordan Carson,11th,88,94
Huang High School,District,1910635,2917,Donald Zamora,9th,55,88
Huang High School,District,1910635,2917,Kimberly Santiago,9th,75,74
Huang High School,District,1910635,2917,Kevin Stevens,9th,69,64
Huang High School,District,1910635,2917,Brandi Lyons,9th,80,89
Huang High School,District,1910635,2917,Lisa Davis,10th,89,91
Huang High School,District,1910635,2917,Kristen Lopez,10th,77,90
Huang High School,District,1910635,2917,Kimberly Stewart,11th,84,99
Huang High School,District,1910635,2917,Christopher Parker,9th,68,81
Huang High School,District,1910635,2917,Chelsea Griffith,11th,73,85
Huang High School,District,1910635,2917,Cesar Morris,9th,70,92
Huang High School,District,1910635,2917,Melanie Decker,9th,85,63
Huang High School,District,1910635,2917,Tracey Oconnor,10th,58,80
Huang High School,District,1910635,2917,Kelly James,11th,55,73
Huang High School,District,1910635,2917,Nicole Brown,12th,88,90
Huang High School,District,1910635,2917,Bobby Harris,9th,99,94
Huang High School,District,1910635,2917,Brian Fernandez,10th,65,97
Huang High School,District,1910635,2917,Candace Phelps,11th,90,93
Huang High School,District,1910635,2917,Amy Gonzalez,12th,68,95
Huang High School,District,1910635,2917,Steven Green,11th,74,65
Huang High School,District,1910635,2917,Benjamin Carlson,10th,61,99
Huang High School,District,1910635,2917,Kevin Bailey,10th,76,76
Huang High School,District,1910635,2917,Jesse Newton,10th,66,63
Huang High School,District,1910635,2917,Kimberly Mercado,12th,77,73
Huang High School,District,1910635,2917,Gregory Roberts,9th,61,80
Huang High School,District,1910635,2917,Matthew Mayer,9th,69,79
Huang High School,District,1910635,2917,Jennifer Parks,11th,95,85
Huang High School,District,1910635,2917,John Carlson,9th,89,65
Huang High School,District,1910635,2917,Megan Roberts,9th,90,66
Huang High School,District,1910635,2917,Debra Flores,10th,66,75
Huang High School,District,1910635,2917,Heidi Jackson,11th,93,64
Huang High School,District,1910635,2917,Denise Bradford,12th,59,73
Huang High School,District,1910635,2917,Ellen Brown,11th,81,77
Huang High School,District,1910635,2917,Amy Perkins,9th,66,76
Huang High School,District,1910635,2917,Natalie Mitchell,10th,93,73
Huang High School,District,1910635,2917,Tiffany Gutierrez,10th,95,82
Huang High School,District,1910635,2917,Jennifer Hess,11th,56,91
Huang High School,District,1910635,2917,Christine Fletcher,12th,78,69
Huang High School,District,1910635,2917,Jon Smith,9th,69,96
Huang High School,District,1910635,2917,Tracey Yates,9th,68,83
Huang High School,District,1910635,2917,Jerry Gordon,12th,71,95
Huang High School,District,1910635,2917,Michael Cox,11th,72,72
Huang High School,District,1910635,2917,Madeline Snyder MD,9th,56,97
Huang High School,District,1910635,2917,Allison King,11th,84,74
Huang High School,District,1910635,2917,Theresa Meyer,9th,70,88
Huang High School,District,1910635,2917,Jared Wood,9th,89,63
Huang High School,District,1910635,2917,Eric Maynard,9th,95,64
Huang High School,District,1910635,2917,Mark Owens,11th,65,74
Huang High School,District,1910635,2917,Ronnie Conley,11th,61,77
Huang High School,District,1910635,2917,Kimberly Davis,12th,57,87
Huang High School,District,1910635,2917,Amy Mitchell,11th,60,74
Huang High School,District,1910635,2917,Mr. Dylan Taylor MD,10th,93,77
Huang High School,District,1910635,2917,Elizabeth Henderson,12th,60,70
Huang High School,District,1910635,2917,James Lopez,12th,82,65
Huang High School,District,1910635,2917,Michael Morgan,11th,89,75
Huang High School,District,1910635,2917,Angela Francis,12th,60,70
Huang High School,District,1910635,2917,Breanna Taylor,10th,68,93
Huang High School,District,1910635,2917,Jason Johnson,12th,65,82
Huang High School,District,1910635,2917,Kyle Martin,10th,94,72
Huang High School,District,1910635,2917,Dr. Scott Gill,10th,85,85
Huang High School,District,1910635,2917,Lisa Long,10th,62,87
Huang High School,District,1910635,2917,Erin Liu,9th,76,78
Huang High School,District,1910635,2917,Marcus Richards,12th,76,83
Huang High School,District,1910635,2917,Jason Thompson,12th,57,99
Huang High School,District,1910635,2917,Elizabeth Mckinney,9th,81,74
Huang High School,District,1910635,2917,Jessica Bailey,10th,70,67
Huang High School,District,1910635,2917,Lisa Frye,12th,73,94
Huang High School,District,1910635,2917,Lindsey Baker,11th,57,81
Huang High School,District,1910635,2917,Lisa Ramirez,12th,76,64
Huang High School,District,1910635,2917,Joseph Butler,10th,63,77
Huang High School,District,1910635,2917,Tina Lynch,10th,60,94
Huang High School,District,1910635,2917,Leah Benitez,10th,84,93
Huang High School,District,1910635,2917,Elizabeth Parker,10th,56,85
Huang High School,District,1910635,2917,Melissa Hunter,10th,70,90
Huang High School,District,1910635,2917,Miss Madison Everett,11th,78,70
Huang High School,District,1910635,2917,Ronald Garcia,9th,86,99
Huang High School,District,1910635,2917,Mark Cherry,10th,98,96
Huang High School,District,1910635,2917,Ryan Stokes,9th,72,75
Huang High School,District,1910635,2917,Isaiah Maldonado,10th,91,84
Huang High School,District,1910635,2917,Micheal Dennis,12th,61,86
Huang High School,District,1910635,2917,Kevin Martinez,11th,58,89
Huang High School,District,1910635,2917,Jessica Smith,9th,72,77
Huang High School,District,1910635,2917,Dawn Trujillo,11th,87,82
Huang High School,District,1910635,2917,Virginia Ramirez MD,10th,89,99
Huang High School,District,1910635,2917,Marc Hernandez,10th,63,87
Huang High School,District,1910635,2917,Jose Gonzalez,12th,67,69
